date,store_id,sales
2024-10-01,store_001,4686.35
2024-10-02,store_001,6139.04
2024-10-03,store_001,5602.3
2024-10-04,store_001,5278.13
2024-10-05,store_001,4799.14
2024-10-06,store_001,4599.52
2024-10-07,store_001,3547.76
2024-10-08,store_001,5998.26
2024-10-09,store_001,5336.83
2024-10-10,store_001,5619.54
2024-10-11,store_001,3877.49
2024-10-12,store_001,7257.21
2024-10-13,store_001,6568.16
2024-10-14,store_001,3952.93
2024-10-15,store_001,4322.29
2024-10-16,store_001,4334.77
2024-10-17,store_001,4654.94
2024-10-18,store_001,5234.0
2024-10-19,store_001,5754.3
2024-10-20,store_001,5113.06
2024-10-21,store_001,4941.74
2024-10-22,store_001,4270.88
2024-10-23,store_001,4677.5
2024-10-24,store_001,4880.54
2024-10-25,store_001,5124.9
2024-10-26,store_001,6898.37
2024-10-27,store_001,4917.16
2024-10-28,store_001,4776.76
2024-10-29,store_001,5523.97
2024-10-30,store_001,4090.36
2024-10-31,store_001,5584.99
2024-11-01,store_001,4435.24
2024-11-02,store_001,4787.49
2024-11-03,store_001,7178.91
2024-11-04,store_001,5924.91
2024-11-05,store_001,6174.96
2024-11-06,store_001,4836.36
2024-11-07,store_001,4289.75
2024-11-08,store_001,5875.59
2024-11-09,store_001,6013.02
2024-11-10,store_001,4817.45
2024-11-11,store_001,4857.26
2024-11-12,store_001,4158.19
2024-11-13,store_001,6541.3
2024-11-14,store_001,4783.88
2024-11-15,store_001,5892.87
2024-11-16,store_001,5687.87
2024-11-17,store_001,6077.37
2024-11-18,store_001,5047.19
2024-11-19,store_001,4624.93
2024-11-20,store_001,6791.36
2024-11-21,store_001,6267.99
2024-11-22,store_001,6733.02
2024-11-23,store_001,7614.95
2024-11-24,store_001,6392.3
2024-11-25,store_001,6048.63
2024-11-26,store_001,4416.01
2024-11-27,store_001,4723.31
2024-11-28,store_001,4311.18
2024-11-29,store_001,5101.8
2024-11-30,store_001,6081.54
